928460.FEC	F3XA	C00549139	PURE Political Action Committee		106 W. Allegan	Suite 200	Lansing	MI	48933	YE				20130909	20131231		Kletzka	Ellen				20140527	0.00	155000.00	155000.00	151838.82	3161.18	0.00	0.00	155000.00	0.00	155000.00	0.00	0.00	155000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	155000.00	155000.00	0.00	0.00	335.10	335.10	0.00	0.00	151503.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	151838.82	151838.82	155000.00	0.00	155000.00	335.10	0.00	335.10	0.00	2013	155000.00	155000.00	151838.82	3161.18	155000.00	0.00	155000.00	0.00	0.00	155000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	155000.00	155000.00	0.00	0.00	335.10	335.10	0.00	0.00	151503.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	151838.82	151838.82	155000.00	0.00	155000.00	335.10	0.00	335.10
928461.FEC	F3XA	C00549139	PURE Political Action Committee		106 W. Allegan	Suite 200	Lansing	MI	48933	Q1				20140101	20140331		Timmer	Jeffrey				20140527	3161.18	0.00	3161.18	0.00	3161.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3161.18	2014	0.00	3161.18	0.00	3161.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
928490.FEC	F3XN	C00282459	LIGNITE ENERGY COUNCIL PAC (LIGNITE PAC)		1016 E OWENS AVENUE SUITE 200		BISMARCK	ND	58501	12P	P2014	20140610	ND	20140401	20140521	X	Hoerner	Marie	S.			20140528	14269.26	3620.00	17889.26	0.00	17889.26	0.00	0.00	2520.00	100.00	2620.00	0.00	1000.00	3620.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3620.00	3620.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3620.00	0.00	3620.00	0.00	0.00	0.00	12109.26	2014	5780.00	17889.26	0.00	17889.26	2620.00	1160.00	3780.00	0.00	1000.00	4780.00	1000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5780.00	5780.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4780.00	0.00	4780.00	0.00	0.00	0.00
928494.FEC	F3XA	C00114850	International Union of Operating Eng		6601 Winchester Ave.	Suite 280	Kansas City	MO	64133	Q1				20140101	20140331		Gardner	Darwin				20140528	128242.56	21576.03	149818.59	100080.00	49738.59	0.00	0.00	0.00	21576.03	21576.03	0.00	0.00	21576.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21576.03	21576.03	0.00	80.00	0.00	80.00	100000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100080.00	100000.00	21576.03	0.00	21576.03	0.00	0.00	0.00	128242.56	2014	21576.03	149818.59	100080.00	49738.59	0.00	21576.03	21576.03	0.00	0.00	21576.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21576.03	21576.03	0.00	80.00	0.00	80.00	100000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100080.00	100000.00	21576.03	0.00	21576.03	0.00	0.00	0.00
928501.FEC	F3XN	C00490029	NATIONAL ORGANIZATION OF REPUBLICAN ARMENIANS		3757  ELMA ROAD		PASADENA	CA	91107	YE				20130701	20131231		Gaboudian	Aram				20140522	10.24	0.00	10.24	0.00	10.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	94.00	2013	200.00	294.00	283.76	10.24	0.00	200.00	200.00	0.00	0.00	200.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	200.00	200.00	0.00	0.00	283.76	283.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	283.76	283.76	200.00	0.00	200.00	283.76	0.00	283.76
928502.FEC	F3XT	C00490029	NATIONAL ORGANIZATION OF REPUBLICAN ARMENIANS		3757  ELMA ROAD		PASADENA	CA	91107	TER				20140101	20140522		Gaboudian	Aram				20140522	10.24	0.00	10.24	0.00	10.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.24	2014	0.00	10.24	0.00	10.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
928529.FEC	F3XN	C00546119	Select Medical Corporation PAC		4714 Gettysburg Road		Mechanicsburg	PA	17055	12P	P2014	20140610	VA	20140501	20140521	X	Walters	William				20140528	4069.31	5473.96	9543.27	3000.00	6543.27	0.00	0.00	4030.99	1442.97	5473.96	0.00	0.00	5473.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5473.96	5473.96	0.00	0.00	0.00	0.00	0.00	3000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3000.00	3000.00	5473.96	0.00	5473.96	0.00	0.00	0.00	11628.39	2014	56914.88	68543.27	62000.00	6543.27	40782.43	16132.45	56914.88	0.00	0.00	56914.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	56914.88	56914.88	0.00	0.00	0.00	0.00	0.00	62000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	62000.00	62000.00	56914.88	0.00	56914.88	0.00	0.00	0.00
928530.FEC	F3XA	C00432096	Keystone Alliance Political Action Committee		PO Box 3883		Philadelphia	PA	19146	YE	P2014			20130701	20131231	X	Cohen	Aaron				20140528	127741.34	33006.69	160748.03	29293.01	131455.02	0.00	0.00	23000.00	0.00	23000.00	0.00	10000.00	33000.00	0.00	0.00	0.00	0.00	0.00	6.69	0.00	0.00	0.00	33006.69	33006.69	0.00	0.00	9493.01	9493.01	0.00	19800.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29293.01	29293.01	33000.00	0.00	33000.00	9493.01	0.00	9493.01	132709.05	2013	69460.72	202169.77	65714.75	136455.02	59250.00	200.00	59450.00	0.00	10000.00	69450.00	0.00	0.00	0.00	0.00	0.00	10.72	0.00	0.00	0.00	69460.72	69460.72	0.00	0.00	25914.75	25914.75	0.00	39800.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	65714.75	65714.75	69450.00	0.00	69450.00	25914.75	0.00	25914.75	
928532.FEC	F3XA	C00507574	Motor City PAC		PO BOX 21431		Detroit	MI	48221	M2				20130101	20130131		Mele	Steve				20140528	17300.41	-2500.00	14800.41	7636.09	7164.32	0.00	0.00	0.00	0.00	0.00	0.00	-2500.00	-2500.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-2500.00	-2500.00	0.00	0.00	7636.09	7636.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7636.09	7636.09	-2500.00	0.00	-2500.00	7636.09	0.00	7636.09	17300.41	2013	-2500.00	14800.41	7636.09	7164.32	0.00	0.00	0.00	0.00	-2500.00	-2500.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-2500.00	-2500.00	0.00	0.00	7636.09	7636.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7636.09	7636.09	-2500.00	0.00	-2500.00	7636.09	0.00	7636.09
928533.FEC	F3XA	C00507574	Motor City PAC		PO BOX 21431		Detroit	MI	48221	M3				20130201	20130228		Mele	Steve				20140528	7164.32	0.00	7164.32	1600.00	5564.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1600.00	1600.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1600.00	1600.00	0.00	0.00	0.00	1600.00	0.00	1600.00	17300.41	2013	-2500.00	14800.41	9236.09	5564.32	0.00	0.00	0.00	0.00	-2500.00	-2500.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-2500.00	-2500.00	0.00	0.00	9236.09	9236.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9236.09	9236.09	-2500.00	0.00	-2500.00	9236.09	0.00	9236.09
